1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
121	1.174357	95.790000	0.026932	0.004183	48.8
122	1.174357	96.790000	0.026703	0.004244	52.5
123	1.174357	97.790000	0.026478	0.004007	50.1
124	1.174357	98.790000	0.026257	0.004222	50.1
125	1.174357	99.790000	0.026040	0.004261	48.9
126	1.174357	100.790000	0.025826	0.002402	49.2
127	1.174357	101.790000	0.025616	0.001798	49.3
128	1.174357	101.780000	0.025618	0.001594	49.9
129	1.174357	102.780000	0.025411	0.000893	48.6
130	1.174357	102.770000	0.025413	0.001804	53.4
131	1.174357	103.770000	0.025209	0.001316	49.3
132	1.174357	104.770000	0.025009	0.001673	49.8
133	1.174357	105.770000	0.024811	0.002207	47.7
134	1.174357	106.770000	0.024617	0.002066	48.3
135	1.174357	107.770000	0.024426	0.004162	47.5
136	1.174357	108.770000	0.024238	0.003874	49.1
137	1.174357	109.770000	0.024053	0.002421	49.6
138	1.174357	110.770000	0.023870	0.003116	47.9
139	1.174357	111.770000	0.023690	0.004208	49.0
140	1.174357	112.770000	0.023513	0.003725	48.9
141	1.174357	113.770000	0.023339	0.002428	48.8
142	1.174357	114.770000	0.023167	0.002766	86.9
143	1.174357	115.770000	0.022997	0.001653	56.9
144	1.174357	116.770000	0.022830	0.001075	50.0
145	1.174357	116.760000	0.022832	0.001723	50.8
146	1.174357	117.760000	0.022668	0.001568	54.8
147	1.174357	118.760000	0.022505	0.000861	48.9
148	1.174357	118.750000	0.022507	0.001829	50.2
149	1.174357	119.750000	0.022347	0.001279	52.1
150	1.174357	120.750000	0.022189	0.001676	49.6
151	1.174357	121.750000	0.022034	0.002188	49.4
152	1.174357	122.750000	0.021881	0.002045	50.8
153	1.174357	123.750000	0.021730	0.004150	50.1
154	1.174357	124.750000	0.021580	0.003725	48.7
155	1.174357	125.750000	0.021433	0.002387	50.6
156	1.174357	126.750000	0.021288	0.002344	50.8
157	1.174357	127.750000	0.021145	0.001766	51.3
158	1.174357	128.750000	0.021004	0.002385	49.0
159	1.174357	129.750000	0.020865	0.002328	49.9
160	1.174357	130.750000	0.020727	0.001753	50.1
161	1.174357	131.750000	0.020591	0.002860	50.5
162	1.174357	132.750000	0.020458	0.002190	51.6
163	1.174357	133.750000	0.020325	0.001757	55.9
164	1.174357	134.750000	0.020195	0.001696	50.2
165	1.174357	135.750000	0.020066	0.001557	49.2
166	1.174357	136.750000	0.019939	0.001670	49.2
167	1.174357	137.750000	0.019813	0.001546	49.0
168	1.174357	138.750000	0.019689	0.000848	50.5
169	1.174357	138.740000	0.019690	0.001740	49.1
170	1.174357	139.740000	0.019568	0.001986	48.3
171	1.174357	140.740000	0.019447	0.001721	50.6
172	1.174357	141.740000	0.019327	0.001342	49.7
173	1.174357	142.740000	0.019209	0.000883	46.8
174	1.174357	142.730000	0.019211	0.001737	49.1
175	1.174357	143.730000	0.019094	0.001309	49.3
176	1.174357	144.730000	0.018979	0.001690	49.2
177	1.174357	145.730000	0.018865	0.001353	83.7
178	1.174357	146.730000	0.018752	0.000878	50.4
179	1.174357	146.720000	0.018754	0.001723	51.4
180	1.174357	147.720000	0.018642	0.001984	53.5
181	1.174357	148.720000	0.018533	0.001726	50.8
182	1.174357	149.720000	0.018424	0.001363	49.0
183	1.174357	150.720000	0.018317	0.000879	50.7
184	1.174357	150.710000	0.018318	0.001741	48.5
185	1.174357	151.710000	0.018212	0.001306	50.6
186	1.174357	152.710000	0.018107	0.001694	50.0
187	1.174357	153.710000	0.018003	0.001341	49.3
188	1.174357	154.710000	0.017901	0.001654	49.4
189	1.174357	155.710000	0.017799	0.001546	48.9
190	1.174357	156.710000	0.017699	0.001847	48.7
191	1.174357	156.700000	0.017700	0.001737	48.0
192	1.174357	157.700000	0.017601	0.001515	50.2
193	1.174357	158.700000	0.017503	0.001699	48.4
194	1.174357	159.700000	0.017406	0.001517	48.2
195	1.174357	160.700000	0.017311	0.001368	47.8
196	1.174357	160.690000	0.017312	0.002020	49.1
197	1.174357	161.690000	0.017217	0.001476	49.0
198	1.174357	162.690000	0.017123	0.001680	49.1
199	1.174357	163.690000	0.017030	0.001493	49.3
200	1.174357	164.690000	0.016939	0.002246	48.9
201	1.174357	165.690000	0.016848	0.001334	48.4
202	1.174357	166.690000	0.016758	0.000705	48.3
203	1.174357	166.680000	0.016759	0.002006	50.1
204	1.174357	167.680000	0.016670	0.001511	49.0
205	1.174357	168.680000	0.016582	0.000873	50.9
206	1.174357	168.670000	0.016583	0.001751	47.6
207	1.174357	169.670000	0.016496	0.001263	49.6
208	1.174357	170.670000	0.016410	0.001678	50.3
209	1.174357	171.670000	0.016325	0.001498	50.2
210	1.174357	172.670000	0.016241	0.002253	50.1
211	1.174357	173.670000	0.016157	0.001357	83.9
212	1.174357	174.670000	0.016075	0.000899	49.3
213	1.174357	174.660000	0.016076	0.001713	48.3
214	1.174357	175.660000	0.015994	0.001295	49.7
215	1.174357	176.660000	0.015913	0.001689	49.5
216	1.174357	177.660000	0.015833	0.001336	54.5
217	1.174357	178.660000	0.015754	0.000874	51.0
218	1.174357	178.650000	0.015754	0.001717	50.9
219	1.174357	179.650000	0.015676	0.001289	49.9
220	1.174357	180.650000	0.015598	0.001682	49.0
221	1.174357	181.650000	0.015521	0.002004	50.8
222	1.174357	182.650000	0.015445	0.000911	51.5
223	1.174357	182.640000	0.015446	0.001735	49.4
224	1.174357	183.640000	0.015370	0.001294	50.8
225	1.174357	184.640000	0.015295	0.001684	50.3
226	1.174357	185.640000	0.015221	0.001325	52.0
227	1.174357	186.640000	0.015148	0.000884	50.9
228	1.174357	186.630000	0.015149	0.001720	50.9
229	1.174357	187.630000	0.015076	0.001279	49.6
230	1.174357	188.630000	0.015004	0.001677	50.0
231	1.174357	189.630000	0.014933	0.001316	48.2
232	1.174357	190.630000	0.014862	0.002232	49.3
233	1.174357	191.630000	0.014793	0.001364	51.3
234	1.174357	192.630000	0.014723	0.000693	47.9
235	1.174357	192.620000	0.014724	0.001998	50.8
236	1.174357	193.620000	0.014655	0.001500	51.3
237	1.174357	194.620000	0.014587	0.001676	48.4
238	1.174357	195.620000	0.014520	0.001506	48.7
239	1.174357	196.620000	0.014453	0.000855	49.7
240	1.174357	196.610000	0.014454	0.001708	53.0
241	1.174357	197.610000	0.014388	0.001263	57.3
242	1.174357	198.610000	0.014322	0.001677	57.5
243	1.174357	199.610000	0.014258	0.002028	54.2
244	1.174357	200.610000	0.014193	0.000906	48.9
245	1.174357	200.600000	0.014194	0.001729	82.4
246	1.174357	201.600000	0.014130	0.001284	50.1
247	1.174357	202.600000	0.014067	0.001682	50.2
248	1.174357	203.600000	0.014004	0.001318	49.2
249	1.174357	204.600000	0.013942	0.000874	50.2
250	1.174357	204.590000	0.013943	0.001718	47.8
251	1.174357	205.590000	0.013881	0.001275	49.9
252	1.174357	206.590000	0.013820	0.001674	50.7
253	1.174357	207.590000	0.013760	0.001309	51.9
254	1.174357	208.590000	0.013700	0.001734	49.1
255	1.174357	208.580000	0.013700	0.001730	48.7
256	1.174357	209.580000	0.013641	0.001280	50.6
257	1.174357	210.580000	0.013582	0.001687	48.3
258	1.174357	211.580000	0.013524	0.001311	50.2
259	1.174357	212.580000	0.013466	0.000874	49.7
260	1.174357	212.570000	0.013466	0.001720	50.4
261	1.174357	213.570000	0.013409	0.001267	50.1
262	1.174357	214.570000	0.013352	0.001677	54.3
263	1.174357	215.570000	0.013296	0.001303	49.8
264	1.174357	216.570000	0.013240	0.001646	49.6
265	1.174357	217.570000	0.013184	0.002007	47.9
266	1.174357	218.570000	0.013129	0.000700	49.9
267	1.174357	218.560000	0.013130	0.001997	54.0
268	1.174357	219.560000	0.013075	0.001522	55.5
269	1.174357	220.560000	0.013021	0.001667	49.9
270	1.174357	221.560000	0.012967	0.001311	51.3
271	1.174357	222.560000	0.012914	0.000890	49.4
272	1.174357	222.550000	0.012915	0.001701	50.8
273	1.174357	223.550000	0.012862	0.001268	48.9
274	1.174357	224.550000	0.012809	0.001664	51.4
275	1.174357	225.550000	0.012757	0.001309	48.8
276	1.174357	226.550000	0.012706	0.000875	50.6
277	1.174357	226.540000	0.012706	0.002291	51.5
278	1.174357	227.540000	0.012655	0.001286	51.5
279	1.174357	228.540000	0.012605	0.001681	51.5
280	1.174357	229.540000	0.012554	0.001313	48.5
281	1.174357	230.540000	0.012504	0.000884	85.4
282	1.174357	230.530000	0.012505	0.001701	50.4
283	1.174357	231.530000	0.012455	0.001267	50.4
284	1.174357	232.530000	0.012406	0.001669	49.4
285	1.174357	233.530000	0.012357	0.001310	51.5
286	1.174357	234.530000	0.012309	0.000875	48.6
287	1.174357	234.520000	0.012310	0.001696	50.3
288	1.174357	235.520000	0.012262	0.000698	55.7
289	1.174357	236.520000	0.012214	0.001815	49.3
290	1.174357	236.510000	0.012214	0.001680	48.5
291	1.174357	237.510000	0.012167	0.001518	51.5
292	1.174357	238.510000	0.012120	0.001673	51.3
293	1.174357	239.510000	0.012074	0.001309	50.1
294	1.174357	240.510000	0.012028	0.000882	48.7
295	1.174357	240.500000	0.012028	0.001693	50.5
296	1.174357	241.500000	0.011982	0.001275	49.8
297	1.174357	242.500000	0.011937	0.001664	49.6
298	1.174357	243.500000	0.011892	0.001302	49.9
299	1.174357	244.500000	0.011847	0.000878	51.5
300	1.174357	244.490000	0.011847	0.001688	50.9
301	1.174357	245.490000	0.011803	0.001964	49.1
302	1.174357	246.490000	0.011759	0.001681	50.5
303	1.174357	247.490000	0.011715	0.001309	50.1
304	1.174357	248.490000	0.011671	0.000887	50.5
305	1.174357	248.480000	0.011672	0.001697	47.8
306	1.174357	249.480000	0.011629	0.000705	51.1
307	1.174357	250.480000	0.011586	0.001028	49.9
308	1.174357	250.470000	0.011586	0.001660	47.4
309	1.174357	251.470000	0.011544	0.001287	52.8
310	1.174357	252.470000	0.011502	0.000871	50.8
311	1.174357	252.460000	0.011502	0.001696	49.6
312	1.174357	253.460000	0.011460	0.000702	50.0
313	1.174357	254.460000	0.011419	0.001645	48.0
314	1.174357	254.450000	0.011419	0.001671	50.4
315	1.174357	255.450000	0.011378	0.001311	48.5
316	1.174357	256.450000	0.011337	0.000667	49.5
317	1.174357	256.440000	0.011337	0.001994	85.4
318	1.174357	257.440000	0.011296	0.001030	50.8
319	1.174357	258.440000	0.011256	0.000686	48.4
320	1.174357	258.430000	0.011256	0.001980	53.7
321	1.174357	259.430000	0.011216	0.001503	51.9
322	1.174357	260.430000	0.011176	0.001652	51.3
323	1.174357	261.430000	0.011137	0.001290	48.6
324	1.174357	262.430000	0.011097	0.000875	48.4
325	1.174357	262.420000	0.011098	0.002255	51.4
326	1.174357	263.420000	0.011059	0.000738	50.4
327	1.174357	264.420000	0.011020	0.000695	50.2
328	1.174357	264.410000	0.011020	0.001656	51.9
329	1.174357	265.410000	0.010982	0.001310	52.3
330	1.174357	266.410000	0.010944	0.000665	51.8
331	1.174357	266.400000	0.010944	0.001992	51.4
332	1.174357	267.400000	0.010906	0.001499	50.3
333	1.174357	268.400000	0.010869	0.001665	52.2
334	1.174357	269.400000	0.010831	0.001288	54.3
335	1.174357	270.400000	0.010794	0.000876	58.5
336	1.174357	270.390000	0.010794	0.001681	48.1
337	1.174357	271.390000	0.010757	0.001659	50.0
338	1.174357	272.390000	0.010721	0.000695	50.3
339	1.174357	272.380000	0.010721	0.001983	51.4
340	1.174357	273.380000	0.010685	0.001510	48.5
341	1.174357	274.380000	0.010648	0.000864	51.1
342	1.174357	274.370000	0.010649	0.001696	51.2
343	1.174357	275.370000	0.010613	0.000715	49.8
344	1.174357	276.370000	0.010577	0.000884	48.7
345	1.174357	276.360000	0.010578	0.001689	50.5
346	1.174357	277.360000	0.010542	0.001259	51.7
347	1.174357	278.360000	0.010507	0.001658	50.8
348	1.174357	279.360000	0.010472	0.001293	51.6
349	1.174357	280.360000	0.010437	0.001637	48.7
