1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	71.865422	0.000000	0.030655	11.783097	5.9
1	67.680745	0.000000	0.030655	15.510130	0.8
2	60.771871	0.000000	0.030655	13.560224	0.8
3	55.491209	0.000000	0.030655	11.846779	0.8
4	51.461108	0.000000	0.030655	10.348367	0.7
5	48.385918	0.000000	0.030655	9.040875	0.7
6	46.038226	0.000000	0.030655	7.903103	0.8
7	44.228176	0.000000	0.030655	7.466474	1.0
8	42.286840	0.000000	0.030655	9.339721	1.0
9	39.793524	0.000000	0.030655	7.949670	1.1
10	37.949639	0.000000	0.030655	7.229667	0.8
11	36.421422	0.000000	0.030655	6.559109	0.7
12	35.165223	0.000000	0.030655	5.933698	0.8
13	34.136659	0.000000	0.030655	5.374485	0.9
14	33.293005	0.000000	0.030655	4.867946	0.7
15	32.579879	0.000000	0.030655	4.944750	0.8
16	31.781965	0.000000	0.030655	5.413747	0.7
17	30.919985	0.000000	0.030655	4.877707	0.8
18	30.241195	0.000000	0.030655	4.247314	0.8
19	29.715019	0.000000	0.030655	3.863100	0.8
20	29.272969	0.000000	0.030655	3.606289	0.7
21	28.886211	0.000000	0.030655	3.401334	0.8
22	28.539876	0.000000	0.030655	3.250504	0.8
23	28.220863	0.000000	0.030655	3.154016	0.7
24	27.921209	0.000000	0.030655	3.038161	0.7
25	27.643748	0.000000	0.030655	2.918348	0.7
26	27.387946	0.000000	0.030655	2.800877	0.7
27	27.152121	0.000000	0.030655	2.691282	0.7
28	26.934344	0.000000	0.030655	2.585972	1.0
29	26.733398	0.000000	0.030655	2.481846	1.3
30	26.548244	0.000000	0.030655	2.384949	0.8
31	26.377517	0.000000	0.030655	2.276761	0.7
32	26.222444	0.000000	0.030655	2.174303	0.7
33	26.081564	0.000000	0.030655	2.032635	0.7
34	25.958099	0.000000	0.030655	1.950010	0.7
35	25.844176	0.000000	0.030655	1.849350	0.8
36	25.741922	0.000000	0.030655	1.779950	0.8
37	25.646033	0.000000	0.030655	1.733400	0.7
38	25.555385	0.000000	0.030655	1.671986	0.8
39	25.470820	0.000000	0.030655	1.633500	0.8
