1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	71.865422	0.000000	0.030655	11.783097	3.8
1	67.680745	0.000000	0.030655	15.510130	0.8
2	60.771871	0.000000	0.030655	13.560224	1.5
3	55.491209	0.000000	0.030655	11.846779	0.8
4	51.461108	0.000000	0.030655	10.348367	0.8
5	48.385918	0.000000	0.030655	9.040875	0.7
6	46.038226	0.000000	0.030655	7.903103	0.7
7	44.228176	0.000000	0.030655	7.466474	0.7
8	42.286840	0.000000	0.030655	9.339721	0.7
9	39.793524	0.000000	0.030655	7.949670	1.0
10	37.949639	0.000000	0.030655	7.229667	1.0
11	36.421422	0.000000	0.030655	6.559109	1.0
12	35.165223	0.000000	0.030655	5.933698	1.1
13	34.136659	0.000000	0.030655	5.374485	0.7
14	33.293005	0.000000	0.030655	4.867946	0.7
15	32.579879	0.000000	0.030655	4.944750	0.9
16	31.781965	0.000000	0.030655	5.413747	0.7
17	30.919985	0.000000	0.030655	4.877707	0.7
18	30.241195	0.000000	0.030655	4.247314	0.7
19	29.715019	0.000000	0.030655	3.863100	0.7
20	29.272969	0.000000	0.030655	3.606289	0.7
21	28.886211	0.000000	0.030655	3.401334	0.7
22	28.539876	0.000000	0.030655	3.250504	0.8
23	28.220863	0.000000	0.030655	3.154016	0.8
24	27.921209	0.000000	0.030655	3.038161	0.7
25	27.643748	0.000000	0.030655	2.918348	0.8
26	27.387946	0.000000	0.030655	2.800877	0.7
27	27.152121	0.000000	0.030655	2.691282	0.7
28	26.934344	0.000000	0.030655	2.585972	0.8
29	26.733398	0.000000	0.030655	2.481846	0.7
30	26.548244	0.000000	0.030655	2.384949	0.7
31	26.377517	0.000000	0.030655	2.276761	0.9
32	26.222444	0.000000	0.030655	2.174303	1.0
33	26.081564	0.000000	0.030655	2.032635	0.9
34	25.958099	0.000000	0.030655	1.950010	0.7
35	25.844176	0.000000	0.030655	1.849350	0.9
36	25.741922	0.000000	0.030655	1.779950	0.7
37	25.646033	0.000000	0.030655	1.733400	0.7
38	25.555385	0.000000	0.030655	1.671986	0.7
39	25.470820	0.000000	0.030655	1.633500	0.7
40	25.389938	0.000000	0.030655	1.598965	0.8
41	25.312215	0.000000	0.030655	1.571988	0.7
42	25.237533	0.000000	0.030655	1.528500	0.7
43	25.166598	0.000000	0.030655	1.502152	0.9
44	25.097963	0.000000	0.030655	1.479352	0.7
45	25.031367	0.000000	0.030655	1.458141	0.7
46	24.965766	0.000000	0.030655	1.457230	0.7
47	24.901222	0.000000	0.030655	1.434425	0.7
48	24.838210	0.000000	0.030655	1.446571	0.8
49	24.774453	0.000000	0.030655	1.440639	0.7
50	24.710315	0.000000	0.030655	1.446033	0.7
51	24.645773	0.000000	0.030655	1.462822	0.9
52	24.580476	0.000000	0.030655	1.458415	0.7
53	24.515424	0.000000	0.030655	1.452084	1.2
54	24.450652	0.000000	0.030655	1.449481	0.8
55	24.386433	0.000000	0.030655	1.444316	0.7
56	24.322796	0.000000	0.030655	1.435840	0.7
57	24.259684	0.000000	0.030655	1.427112	0.8
58	24.197400	0.000000	0.030655	1.416831	0.8
59	24.136124	0.000000	0.030655	1.405126	0.7
60	24.075798	0.000000	0.030655	1.396783	0.7
61	24.016190	0.000000	0.030655	1.387814	0.7
62	23.957438	0.000000	0.030655	1.373011	0.7
63	23.899915	0.000000	0.030655	1.363739	0.7
64	23.843098	0.000000	0.030655	1.353224	0.8
65	23.787195	0.000000	0.030655	1.341042	0.8
66	23.732506	0.000000	0.030655	1.321027	0.7
67	23.679220	0.000000	0.030655	1.309433	0.7
68	23.499336	0.000000	0.030655	1.298538	0.7
69	23.448025	0.000000	0.030655	1.280185	0.7
70	23.398221	0.000000	0.030655	1.260253	0.7
71	23.117135	0.000000	0.030655	1.245776	0.7
72	23.069859	0.000000	0.030655	1.230086	0.9
73	22.788228	0.000000	0.030655	1.212710	0.7
74	22.743457	0.000000	0.030655	1.195103	0.9
75	22.512029	0.000000	0.030655	1.180901	1.1
76	22.447310	0.000000	0.030655	1.166241	0.8
77	22.405910	0.000000	0.030655	1.150643	0.7
78	22.189188	0.000000	0.030655	1.136002	0.8
79	22.147280	0.000000	0.030655	1.121287	0.7
80	22.029107	0.000000	0.030655	1.107897	0.7
81	21.922516	0.000000	0.030655	1.094775	0.7
82	21.885243	0.000000	0.030655	1.080511	0.7
83	21.732495	0.000000	0.030655	1.067911	0.8
84	21.688143	0.000000	0.030655	1.057306	0.8
85	21.652496	0.000000	0.030655	1.049042	0.8
86	21.512814	0.000000	0.030655	1.041725	0.9
87	21.477072	0.000000	0.030655	1.037943	0.8
88	21.442817	0.000000	0.030655	1.031549	0.7
89	21.319946	0.000000	0.030655	1.024486	0.7
90	21.285585	0.000000	0.030655	1.020440	0.7
91	21.252352	0.000000	0.030655	1.017982	0.7
92	21.145500	0.000000	0.030655	1.015863	0.8
93	21.112482	0.000000	0.030655	1.014262	0.7
94	21.079694	0.000000	0.030655	1.012334	0.7
95	20.989636	0.000000	0.030655	1.020995	0.8
96	20.954091	0.000000	0.030655	1.023126	1.0
97	20.920893	0.000000	0.030655	1.025607	0.8
98	20.841923	0.000000	0.030655	1.026357	0.7
99	20.807353	0.000000	0.030655	1.024711	0.7
100	20.774179	0.000000	0.030655	1.022094	0.9
101	20.717780	0.000000	0.030655	1.021381	0.8
102	20.675422	0.000000	0.030655	1.016466	0.8
103	20.643036	0.000000	0.030655	1.007519	0.7
104	20.611055	0.000000	0.030655	1.004580	0.8
105	20.560574	0.000000	0.030655	0.999759	0.8
106	20.524395	0.000000	0.030655	0.995557	0.8
107	20.493202	0.000000	0.030655	0.986270	1.1
108	20.462558	0.000000	0.030655	0.976508	0.7
109	20.421132	0.000000	0.030655	0.975624	0.8
110	20.392477	0.000000	0.030655	0.966957	1.0
111	20.363038	0.000000	0.030655	0.959847	0.7
112	20.333865	0.000000	0.030655	0.950893	0.8
113	20.304457	0.000000	0.030655	0.943122	0.9
114	20.274589	0.000000	0.030655	0.937132	0.7
115	20.247271	0.000000	0.030655	0.928547	0.7
116	20.220450	0.000000	0.030655	0.919770	1.2
117	20.193599	0.000000	0.030655	0.913030	0.9
118	20.167364	0.000000	0.030655	0.903233	0.7
119	20.141655	0.000000	0.030655	0.894756	0.7
120	20.116894	0.000000	0.030655	0.886955	0.8
121	20.092097	0.000000	0.030655	0.880814	0.8
122	20.068001	0.000000	0.030655	0.870450	0.8
123	20.044149	0.000000	0.030655	0.862275	0.7
124	20.021148	0.000000	0.030655	0.857985	0.8
125	19.998417	0.000000	0.030655	0.849679	0.8
