1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.453779	0.000000	1.255533	0.548032	54.7
1	0.168376	0.000000	1.255533	0.311310	5.3
2	0.068575	0.000000	1.255533	0.194616	4.3
3	0.032529	0.000000	1.255533	0.105635	4.7
4	0.022810	0.000000	1.255533	0.058284	4.3
5	0.020218	0.000000	1.255533	0.034767	5.3
6	0.019404	0.000000	1.255533	0.020140	4.4
7	0.019166	0.000000	1.255533	0.014447	4.6
8	0.019133	1.000000	1.198463	0.011204	4.6
9	0.019120	2.000000	1.146356	0.007926	4.8
10	0.019071	3.000000	1.098591	0.003090	4.5
11	0.019087	2.990000	1.099049	0.007486	5.1
12	0.019090	3.990000	1.055070	0.004937	5.0
13	0.019075	4.990000	1.014474	0.009939	4.3
14	0.019106	4.980000	1.014865	0.008972	4.6
15	0.019097	5.980000	0.977249	0.005986	4.8
16	0.019071	6.980000	0.942323	0.003041	5.1
17	0.019087	6.970000	0.942660	0.007411	4.4
18	0.019086	7.970000	0.910120	0.004529	4.5
19	0.019071	8.970000	0.879753	0.002826	4.9
20	0.019083	8.960000	0.880046	0.007199	4.3
21	0.019084	9.960000	0.851621	0.004381	4.8
22	0.019072	10.960000	0.824975	0.009780	4.5
23	0.019094	10.950000	0.825233	0.008273	4.8
24	0.019091	11.950000	0.800188	0.005548	4.3
25	0.019072	12.950000	0.776618	0.003260	4.5
26	0.019083	12.940000	0.776847	0.007235	4.7
27	0.019082	13.940000	0.754613	0.004262	4.2
28	0.019071	14.940000	0.733617	0.002898	4.6
29	0.019080	14.930000	0.733821	0.007040	4.5
30	0.019081	15.930000	0.713950	0.004100	5.2
31	0.019071	16.930000	0.695128	0.002909	4.3
32	0.019079	16.920000	0.695311	0.006941	4.8
33	0.019081	17.920000	0.677446	0.004040	5.0
34	0.019071	18.920000	0.660476	0.002935	4.4
35	0.019077	18.910000	0.660641	0.006877	4.6
36	0.019080	19.910000	0.644493	0.003990	4.5
37	0.019071	20.910000	0.629115	0.008421	4.7
38	0.019082	20.900000	0.629265	0.007407	4.6
39	0.019084	21.900000	0.614597	0.004810	4.6
40	0.019072	22.900000	0.600597	0.003318	4.5
41	0.019078	22.890000	0.600733	0.006974	4.7
42	0.019079	23.890000	0.587351	0.004011	4.7
43	0.019071	24.890000	0.574552	0.002989	4.4
44	0.019077	24.880000	0.574677	0.006846	5.1
45	0.019078	25.880000	0.562419	0.003846	4.4
