1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	1.343020	0.000000	0.151141	1.993786	5.0
1	0.870793	0.000000	0.151141	1.196103	0.9
2	0.689042	0.000000	0.151141	0.845930	0.8
3	0.594916	0.000000	0.151141	0.649659	0.8
4	0.536722	0.000000	0.151141	0.535667	0.8
5	0.497451	0.000000	0.151141	0.451442	0.8
6	0.470025	0.000000	0.151141	0.383890	0.9
7	0.449238	0.000000	0.151141	0.336674	1.1
8	0.433829	0.000000	0.151141	0.294968	1.2
9	0.422053	0.000000	0.151141	0.265405	1.0
10	0.411809	0.000000	0.151141	0.242251	1.2
11	0.403483	0.000000	0.151141	0.223369	1.3
12	0.394296	0.000000	0.151141	0.204172	1.2
13	0.388849	0.000000	0.151141	0.191098	1.1
14	0.383546	0.000000	0.151141	0.179238	1.0
15	0.379027	0.000000	0.151141	0.168651	0.9
16	0.374841	0.000000	0.151141	0.160409	1.0
17	0.370989	0.000000	0.151141	0.152736	1.1
18	0.367793	0.000000	0.151141	0.144722	0.9
19	0.364674	0.000000	0.151141	0.139142	0.8
20	0.362407	0.000000	0.151141	0.132376	0.9
21	0.359700	0.000000	0.151141	0.128017	0.8
22	0.357810	0.000000	0.151141	0.124113	0.8
23	0.355623	0.000000	0.151141	0.119546	0.9
24	0.353511	0.000000	0.151141	0.115414	0.8
25	0.351519	0.000000	0.151141	0.112391	1.0
26	0.349634	0.000000	0.151141	0.107990	1.0
27	0.347779	0.000000	0.151141	0.105722	1.1
28	0.346086	0.000000	0.151141	0.103374	1.2
29	0.344492	0.000000	0.151141	0.100922	0.9
30	0.342819	0.000000	0.151141	0.098746	0.9
31	0.341338	0.000000	0.151141	0.096885	0.9
32	0.339946	0.000000	0.151141	0.094911	1.0
33	0.338001	0.000000	0.151141	0.093558	0.9
34	0.336804	0.000000	0.151141	0.091525	0.9
35	0.335399	0.000000	0.151141	0.090005	1.1
36	0.334163	0.000000	0.151141	0.088699	0.9
37	0.334632	0.000000	0.151141	0.086395	1.0
38	0.333492	0.000000	0.151141	0.084990	0.9
39	0.332290	0.000000	0.151141	0.083922	1.0
40	0.331592	0.000000	0.151141	0.082590	0.9
41	0.331347	0.000000	0.151141	0.080367	1.0
42	0.330648	0.000000	0.151141	0.079211	1.1
43	0.329827	0.000000	0.151141	0.077963	1.2
44	0.328841	0.000000	0.151141	0.076986	0.9
