1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	13.784390	0.000000	0.080559	5.362189	22.9
1	13.509019	0.000000	0.080559	4.619219	4.8
2	12.114800	0.000000	0.080559	4.430112	5.8
3	10.251836	0.000000	0.080559	6.294540	5.1
4	7.345050	0.000000	0.080559	4.925453	4.8
5	5.682241	0.000000	0.080559	3.371338	5.8
6	4.945754	0.000000	0.080559	2.076616	5.0
7	4.652080	0.000000	0.080559	1.510546	5.4
8	4.486817	0.000000	0.080559	1.249326	5.8
9	4.359617	0.000000	0.080559	1.125250	5.4
10	4.258091	0.000000	0.080559	1.062178	8.6
11	4.165730	0.000000	0.080559	1.009344	6.5
12	4.084157	0.000000	0.080559	0.981424	6.4
13	4.006540	0.000000	0.080559	0.945985	6.1
14	3.934280	0.000000	0.080559	0.922774	5.8
15	3.863929	0.000000	0.080559	0.895461	5.9
16	3.797672	0.000000	0.080559	0.873609	6.8
17	3.734396	0.000000	0.080559	0.856413	6.1
18	3.675171	0.000000	0.080559	0.831588	5.1
19	3.616956	0.000000	0.080559	0.817131	5.3
20	3.559856	0.000000	0.080559	0.797760	5.1
21	3.507358	0.000000	0.080559	0.779447	5.0
22	3.456886	0.000000	0.080559	0.768943	5.6
23	3.407672	0.000000	0.080559	0.760127	5.3
24	3.359528	0.000000	0.080559	0.746146	5.0
25	3.312659	0.000000	0.080559	0.731922	5.7
26	3.268005	0.000000	0.080559	0.724152	4.9
27	3.223553	0.000000	0.080559	0.707357	5.4
28	3.181562	0.000000	0.080559	0.696997	5.6
29	3.141200	0.000000	0.080559	0.682803	5.0
30	3.103122	0.000000	0.080559	0.669742	5.0
31	3.065004	0.000000	0.080559	0.658450	5.6
32	3.028993	0.000000	0.080559	0.644332	4.7
33	2.994398	0.000000	0.080559	0.633149	5.2
34	2.960763	0.000000	0.080559	0.624490	5.2
35	2.928208	0.000000	0.080559	0.620113	5.2
36	2.895731	0.000000	0.080559	0.611190	5.3
37	2.864320	0.000000	0.080559	0.603908	5.0
38	2.833637	0.000000	0.080559	0.592707	5.8
39	2.804078	0.000000	0.080559	0.586079	6.4
40	2.775123	0.000000	0.080559	0.574311	8.4
41	2.747381	0.000000	0.080559	0.565758	28.8
42	2.720213	0.000000	0.080559	0.564778	12.2
43	2.693738	0.000000	0.080559	0.556427	5.7
44	2.667428	0.000000	0.080559	0.552295	5.9
45	2.641827	0.000000	0.080559	0.543790	6.1
46	2.616937	0.000000	0.080559	0.537184	6.4
47	2.592817	0.000000	0.080559	0.528495	5.1
48	2.569514	0.000000	0.080559	0.526200	5.3
49	2.546225	0.000000	0.080559	0.524283	5.4
50	2.523077	0.000000	0.080559	0.516861	5.3
51	2.500628	0.000000	0.080559	0.511848	5.3
52	2.478592	0.000000	0.080559	0.504786	5.2
53	2.457100	0.000000	0.080559	0.497035	5.5
54	2.436052	0.000000	0.080559	0.497671	5.3
55	2.414237	0.000000	0.080559	0.493499	5.2
56	2.393399	0.000000	0.080559	0.491879	5.5
57	2.372985	0.000000	0.080559	0.486729	5.4
58	2.352754	0.000000	0.080559	0.484366	5.2
59	2.333041	0.000000	0.080559	0.483551	5.5
60	2.313514	0.000000	0.080559	0.475674	5.2
61	2.294581	0.000000	0.080559	0.468376	4.9
62	2.276087	0.000000	0.080559	0.462802	5.8
63	2.258185	0.000000	0.080559	0.462391	5.6
64	2.240255	0.000000	0.080559	0.455979	5.4
65	2.222921	0.000000	0.080559	0.449131	6.4
66	2.206048	0.000000	0.080559	0.444397	5.7
67	2.189522	0.000000	0.080559	0.442699	4.9
68	2.173255	0.000000	0.080559	0.436543	5.6
69	2.157072	0.000000	0.080559	0.427979	5.2
70	2.141839	0.000000	0.080559	0.421727	5.0
71	2.121963	0.000000	0.080559	0.415365	5.6
72	2.107668	0.000000	0.080559	0.408302	5.1
73	2.093677	0.000000	0.080559	0.401543	5.1
74	2.080351	0.000000	0.080559	0.397426	5.5
75	2.067153	0.000000	0.080559	0.390827	5.0
76	2.054257	0.000000	0.080559	0.387898	5.3
77	2.041797	0.000000	0.080559	0.383621	5.6
78	2.029483	0.000000	0.080559	0.378823	4.8
79	2.017495	0.000000	0.080559	0.375027	5.5
80	2.005705	0.000000	0.080559	0.372554	5.4
81	1.994137	0.000000	0.080559	0.371091	4.8
82	1.982661	0.000000	0.080559	0.366762	5.2
83	1.971328	0.000000	0.080559	0.361920	5.4
84	1.960361	0.000000	0.080559	0.363254	4.9
85	1.949373	0.000000	0.080559	0.360484	5.3
86	1.938589	0.000000	0.080559	0.358447	5.0
87	1.927617	0.000000	0.080559	0.358630	5.8
88	1.916966	0.000000	0.080559	0.352847	5.4
89	1.905028	0.000000	0.080559	0.360028	6.0
90	1.894430	0.000000	0.080559	0.354532	5.7
