1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	1.161869	0.000000	2.173069	0.122960	30.1
1	1.136633	0.000000	2.173069	0.094452	6.9
2	1.117074	0.000000	2.173069	0.069369	6.7
3	1.106305	0.000000	2.173069	0.072703	6.9
4	1.097591	0.000000	2.173069	0.050432	6.4
5	1.092605	0.000000	2.173069	0.046427	7.2
6	1.089255	0.000000	2.173069	0.041507	7.0
7	1.086212	0.000000	2.173069	0.036058	6.6
8	1.085134	0.000000	2.173069	0.040962	8.9
9	1.083279	0.000000	2.173069	0.044024	42.5
10	1.080322	0.000000	2.173069	0.045429	6.5
11	1.076738	0.000000	2.173069	0.045499	6.8
12	1.077104	0.000000	2.173069	0.044379	6.5
13	1.073782	0.000000	2.173069	0.045430	6.7
14	1.069394	0.000000	2.173069	0.053248	6.6
15	1.063287	0.000000	2.173069	0.092297	7.4
16	1.044190	0.000000	2.173069	0.072864	7.0
17	1.031047	0.000000	2.173069	0.089685	6.3
18	1.012623	0.000000	2.173069	0.111621	7.0
19	0.988639	0.000000	2.173069	0.079911	6.4
20	0.977682	0.000000	2.173069	0.067122	6.6
21	0.969875	0.000000	2.173069	0.060423	6.8
22	0.965805	0.000000	2.173069	0.082818	7.2
23	0.952745	0.000000	2.173069	0.068456	6.0
24	0.942549	0.000000	2.173069	0.055281	6.9
25	0.935413	0.000000	2.173069	0.046444	6.4
26	0.930502	0.000000	2.173069	0.061113	6.7
27	0.921923	0.000000	2.173069	0.081704	6.5
28	0.916917	0.000000	2.173069	0.072534	6.1
29	0.905633	0.000000	2.173069	0.081912	9.6
30	0.891233	0.000000	2.173069	0.067425	7.0
31	0.880947	0.000000	2.173069	0.068021	6.7
32	0.870000	0.000000	2.173069	0.076502	6.5
33	0.858116	0.000000	2.173069	0.062711	6.3
34	0.853860	0.000000	2.173069	0.072989	6.7
35	0.844363	0.000000	2.173069	0.093995	6.4
36	0.833359	0.000000	2.173069	0.097532	6.8
37	0.812706	0.000000	2.173069	0.112051	6.8
38	0.791245	0.000000	2.173069	0.064343	6.6
39	0.783072	0.000000	2.173069	0.044012	6.5
40	0.777639	0.000000	2.173069	0.059532	6.3
41	0.769677	0.000000	2.173069	0.058349	6.6
42	0.759952	0.000000	2.173069	0.088152	6.9
43	0.742675	0.000000	2.173069	0.105098	6.7
44	0.719239	0.000000	2.173069	0.119920	7.3
45	0.689576	0.000000	2.173069	0.105848	6.2
46	0.669894	0.000000	2.173069	0.105190	7.4
47	0.648588	0.000000	2.173069	0.198077	6.8
48	0.603469	0.000000	2.173069	0.222074	6.8
49	0.592577	0.000000	2.173069	0.518954	7.6
50	0.790765	1.000000	2.074293	0.415810	6.2
51	0.525715	2.000000	1.984106	0.150189	7.3
52	0.524023	1.990000	1.984969	0.292595	6.8
53	0.583521	2.990000	1.902228	0.324913	7.4
54	0.537863	3.990000	1.826108	0.492392	8.1
55	0.689874	4.990000	1.755846	0.420548	8.2
56	0.517118	5.990000	1.690791	0.401333	8.1
57	0.566242	6.990000	1.630384	0.208682	8.5
58	0.523990	7.990000	1.574144	0.140117	7.8
59	0.504423	7.980000	1.574687	0.131672	8.5
60	0.504888	7.970000	1.575231	0.192722	7.6
61	0.520676	8.970000	1.522671	0.222981	7.0
62	0.519674	9.970000	1.473505	0.227086	7.4
63	0.512050	10.970000	1.427414	0.313886	6.4
64	0.552235	11.970000	1.384120	0.308400	7.4
65	0.518501	12.970000	1.343375	0.449277	7.3
66	0.557985	13.970000	1.304960	0.220183	7.0
67	0.525121	14.970000	1.268681	0.180544	6.9
68	0.511992	15.970000	1.234364	0.168460	7.2
69	0.501006	16.970000	1.201855	0.141487	7.2
70	0.501090	17.970000	1.171015	0.132705	6.7
71	0.498807	18.970000	1.141717	0.174997	6.9
72	0.508347	19.970000	1.113850	0.145706	7.0
73	0.495199	20.970000	1.087311	0.082829	7.2
74	0.494920	21.970000	1.062007	0.073127	7.1
75	0.494402	22.970000	1.037854	0.082844	6.9
76	0.497034	23.970000	1.014775	0.117070	7.4
77	0.501063	24.970000	0.992700	0.266544	6.8
78	0.514074	25.970000	0.971566	0.122764	7.1
79	0.500220	26.970000	0.951312	0.104803	7.2
80	0.495252	26.960000	0.951510	0.066154	6.8
81	0.494654	27.960000	0.932076	0.075659	7.3
82	0.496132	28.960000	0.913420	0.150436	6.4
83	0.502491	29.960000	0.895495	0.129811	7.0
84	0.494329	30.960000	0.878261	0.057671	6.9
85	0.494354	31.960000	0.861677	0.072031	7.5
86	0.495430	32.960000	0.845709	0.131598	7.0
87	0.499802	33.960000	0.830321	0.137364	6.8
88	0.495739	34.960000	0.815483	0.123749	7.2
89	0.498080	35.960000	0.801166	0.125826	6.5
90	0.495730	36.960000	0.787344	0.128651	7.2
91	0.498141	37.960000	0.773990	0.127005	7.1
92	0.495355	38.960000	0.761081	0.118208	9.4
93	0.497133	39.960000	0.748596	0.115659	41.6
94	0.494967	40.960000	0.736515	0.107344	6.9
95	0.496294	41.960000	0.724816	0.105862	7.3
96	0.494725	42.960000	0.713484	0.100980	6.6
97	0.495811	43.960000	0.702501	0.100658	7.6
98	0.494584	44.960000	0.691850	0.097635	7.0
99	0.495493	45.960000	0.681518	0.101923	7.4
100	0.494775	46.960000	0.671490	0.107011	7.0
101	0.495737	47.960000	0.661752	0.100051	7.1
102	0.494231	48.960000	0.652293	0.083787	7.6
103	0.494619	49.960000	0.643101	0.083888	6.9
104	0.494160	50.960000	0.634164	0.084035	7.0
105	0.494560	51.960000	0.625472	0.083399	6.8
106	0.494066	52.960000	0.617015	0.080357	6.6
107	0.494362	53.960000	0.608784	0.077630	7.0
108	0.493889	54.960000	0.600769	0.071265	7.1
109	0.494039	55.960000	0.592963	0.067121	7.0
110	0.493700	56.960000	0.585357	0.059974	6.8
111	0.493748	57.960000	0.577944	0.055936	6.9
112	0.493542	58.960000	0.570716	0.049380	6.3
113	0.493536	59.960000	0.563666	0.044922	7.0
114	0.493416	60.960000	0.556789	0.038799	7.3
115	0.493387	61.960000	0.550078	0.034330	6.8
116	0.493323	62.960000	0.543526	0.028915	7.0
117	0.493293	63.960000	0.537129	0.024381	6.6
118	0.493259	64.960000	0.530880	0.019133	7.1
119	0.493236	65.960000	0.524775	0.014089	6.8
120	0.493220	66.960000	0.518809	0.009669	7.1
121	0.493211	67.960000	0.512977	0.006070	7.3
122	0.493208	68.960000	0.507275	0.003178	6.7
123	0.493206	69.960000	0.501698	0.001212	7.1
124	0.493206	70.960000	0.496242	0.000901	6.7
125	0.493206	70.950000	0.496296	0.000669	6.9
126	0.493206	70.940000	0.496350	0.000450	7.0
127	0.493206	70.930000	0.496404	0.000318	7.0
128	0.493206	70.920000	0.496458	0.000205	6.9
129	0.493206	70.910000	0.496512	0.000149	6.5
130	0.493206	70.900000	0.496566	0.000107	6.6
131	0.493206	70.890000	0.496620	0.000078	7.1
132	0.493206	70.880000	0.496674	0.000058	6.9
133	0.493206	70.870000	0.496728	0.000045	7.0
134	0.493206	70.860000	0.496782	0.000035	6.3
135	0.493206	70.850000	0.496837	0.000028	6.8
136	0.493206	70.840000	0.496891	0.000022	6.7
137	0.493206	70.830000	0.496945	0.000018	6.9
138	0.493206	70.820000	0.496999	0.000014	6.9
139	0.493206	70.810000	0.497053	0.000012	6.3
140	0.493206	70.800000	0.497107	0.000010	7.0
141	0.493206	70.790000	0.497161	0.000008	6.6
142	0.493206	70.780000	0.497216	0.000007	6.9
143	0.493206	70.770000	0.497270	0.000006	7.2
144	0.493206	70.760000	0.497324	0.000006	6.7
145	0.493206	70.750000	0.497378	0.000005	7.0
146	0.493206	70.740000	0.497432	0.000004	6.2
147	0.493206	70.730000	0.497487	0.000003	6.8
148	0.493206	70.720000	0.497541	0.000003	7.1
149	0.493206	70.710000	0.497595	0.000003	7.4
150	0.493206	70.700000	0.497649	0.000002	10.1
151	0.493206	70.690000	0.497704	0.000002	9.2
152	0.493206	70.680000	0.497758	0.000002	9.4
153	0.493206	70.670000	0.497812	0.000001	8.8
154	0.493206	70.660000	0.497866	0.000001	10.1
155	0.493206	70.650000	0.497921	0.000001	9.5
156	0.493206	70.640000	0.497975	0.000001	8.5
157	0.493206	70.630000	0.498029	0.000001	7.0
158	0.493206	70.620000	0.498084	0.000001	9.2
159	0.493206	70.610000	0.498138	0.000001	7.1
160	0.493206	70.600000	0.498193	0.000001	8.0
161	0.493206	70.590000	0.498247	0.000000	6.6
162	0.493206	70.580000	0.498301	0.000000	8.2
163	0.493206	70.570000	0.498356	0.000000	7.5
164	0.493206	70.560000	0.498410	0.000000	7.9
165	0.493206	70.550000	0.498465	0.000000	8.1
166	0.493206	70.540006	0.498519	0.000000	7.3
167	0.493206	70.530042	0.498573	0.000000	7.3
168	0.493206	70.520187	0.498627	0.000000	7.3
169	0.493206	70.510600	0.498679	0.000000	8.5
170	0.493206	70.501508	0.498729	0.000000	8.5
171	0.493206	70.493150	0.498774	0.000000	34.5
172	0.493206	70.485716	0.498815	0.000000	21.2
173	0.493206	70.479303	0.498850	0.000000	6.6
174	0.493206	70.473921	0.498879	0.000000	7.2
175	0.493206	70.469506	0.498903	0.000000	7.2
176	0.493206	70.465950	0.498923	0.000000	7.6
177	0.493206	70.463129	0.498938	0.000000	7.3
178	0.493206	70.460915	0.498950	0.000000	9.9
179	0.493206	70.459193	0.498960	0.000000	8.8
180	0.493206	70.457863	0.498967	0.000000	7.2
181	0.493206	70.456841	0.498972	0.000000	7.0
182	0.493206	70.456059	0.498977	0.000000	7.1
183	0.493206	70.455462	0.498980	0.000000	7.4
184	0.493206	70.455007	0.498982	0.000000	6.9
185	0.493206	70.454661	0.498984	0.000000	6.9
186	0.493206	70.454398	0.498986	0.000000	7.0
187	0.493206	70.454198	0.498987	0.000000	7.3
188	0.493206	70.454047	0.498988	0.000000	7.3
189	0.493206	70.453932	0.498988	0.000000	7.0
190	0.493206	70.453845	0.498989	0.000000	6.7
191	0.493206	70.453779	0.498989	0.000000	6.7
192	0.493206	70.453729	0.498989	0.000000	7.0
193	0.493206	70.453691	0.498990	0.000000	6.5
194	0.493206	70.453662	0.498990	0.000000	7.2
195	0.493206	70.453640	0.498990	0.000000	7.0
196	0.493206	70.453624	0.498990	0.000000	7.3
197	0.493206	70.453611	0.498990	0.000000	6.8
198	0.493206	70.453602	0.498990	0.000000	6.6
199	0.493206	70.453595	0.498990	0.000000	6.8
200	0.493206	70.453589	0.498990	0.000000	6.8
201	0.493206	70.453585	0.498990	0.000000	6.9
202	0.493206	70.453582	0.498990	0.000000	6.8
203	0.493206	70.453579	0.498990	0.000000	6.9
204	0.493206	70.453578	0.498990	0.000000	7.1
205	0.493206	70.453576	0.498990	0.000000	6.8
206	0.493206	70.453575	0.498990	0.000000	7.0
207	0.493206	70.453574	0.498990	0.000000	6.8
208	0.493206	70.453574	0.498990	0.000000	6.6
209	0.493206	70.453573	0.498990	0.000000	6.9
210	0.493206	70.453573	0.498990	0.000000	7.2
211	0.493206	70.453573	0.498990	0.000000	6.8
212	0.493206	70.453572	0.498990	0.000000	7.0
213	0.493206	70.453572	0.498990	0.000000	6.9
214	0.493206	70.453572	0.498990	0.000000	6.1
215	0.493206	70.453572	0.498990	0.000000	6.8
216	0.493206	70.453572	0.498990	0.000000	7.3
217	0.493206	70.453572	0.498990	0.000000	6.9
218	0.493206	70.453572	0.498990	0.000000	7.4
219	0.493206	70.453572	0.498990	0.000000	6.4
220	0.493206	70.453572	0.498990	0.000000	6.7
221	0.493206	70.453572	0.498990	0.000000	7.2
222	0.493206	70.453572	0.498990	0.000000	6.7
223	0.493206	70.453572	0.498990	0.000000	7.1
224	0.493206	70.453572	0.498990	0.000000	7.0
225	0.493206	70.453572	0.498990	0.000000	6.6
226	0.493206	70.453572	0.498990	0.000000	7.0
227	0.493206	70.453572	0.498990	0.000000	6.7
